contract,transaction_date,quantity,price (USD)
Organic Wheat (feed) (delivered),2/5/13,734,12.27
Organic Wheat (feed) (delivered),2/6/13,3333,17.4
Organic Wheat (feed) (delivered),2/7/13,881,12.27
Organic Wheat (feed) (delivered),2/8/13,734,13.09
Organic Wheat (feed) (delivered),2/14/13,643,14
Organic Wheat (feed) (delivered),2/26/13,4776,12.27
Organic Wheat (feed) (delivered),2/27/13,781,15
Organic Wheat (feed) (delivered),2/27/13,725,15
Organic Wheat (feed) (delivered),3/1/13,873,15
Organic Wheat (feed) (delivered),3/1/13,873,15
Organic Wheat (feed) (delivered),3/6/13,1152,12
Organic Wheat (feed) (delivered),3/18/13,2572,12.27
Organic Wheat (feed) (delivered),4/1/13,1006,13.5
Organic Wheat (feed) (delivered),4/3/13,1763,14.5
Organic Wheat (feed) (delivered),4/8/13,855,12
Organic Wheat (feed) (delivered),4/15/13,734,13.09
Organic Wheat (feed) (delivered),5/1/13,822,12
Organic Wheat (feed) (delivered),5/2/13,840,15.5
Organic Wheat (feed) (delivered),5/2/13,4041,13.09
Organic Wheat (feed) (delivered),5/9/13,1964,13
Organic Wheat (feed) (delivered),5/22/13,798,14
Organic Wheat (feed) (delivered),5/23/13,20000,16.5
Organic Wheat (feed) (delivered),5/31/13,1222,15.75
Organic Wheat (feed) (delivered),6/3/13,1641,14.25
Organic Wheat (feed) (delivered),6/5/13,2733,16.2
Organic Wheat (feed) (delivered),6/10/13,3333,15.3
Organic Wheat (feed) (delivered),6/11/13,680,15.75
Organic Wheat (feed) (delivered),6/14/13,892,15.5
Organic Wheat (feed) (delivered),6/23/13,833,14
Organic Wheat (feed) (delivered),6/24/13,1666,15.15
Organic Wheat (feed) (delivered),6/26/13,4592,12.68
Organic Wheat (feed) (delivered),6/26/13,4592,12.55
Organic Wheat (feed) (delivered),6/30/13,833,13.86
Organic Wheat (feed) (delivered),7/3/13,1666,15.15
Organic Wheat (feed) (delivered),7/10/13,1600,12
Organic Wheat (feed) (delivered),7/11/13,1500,15
Organic Wheat (feed) (delivered),7/11/13,866,12.9
Organic Wheat (feed) (delivered),7/15/13,833,14.1
